"employees","Salaries2017","salaryAdjustment","Salaries2018","GotARaise"
"Employee 42",48257.0805749856,-4409.0436049737,43848.0369700119,FALSE
"Employee 43",47496.8694173731,-1345.08018149063,46151.7892358825,FALSE
"Employee 44",45653.0126580037,-3233.70279744267,42419.309860561,FALSE
"Employee 45",44970.5140525475,1558.8889317587,46529.4029843062,TRUE
"Employee 46",41003.2449825667,4177.94406879693,45181.1890513636,TRUE
"Employee 47",40668.4218673036,3800.51070591435,44468.9325732179,TRUE
"Employee 48",41524.596423842,821.119484025985,42345.715907868,TRUE
"Employee 49",43792.8122957237,4339.18659109622,48131.9988868199,TRUE
"Employee 50",46892.7978212014,-1833.62638344988,45059.1714377515,FALSE
"Employee 51",48904.9267699011,4130.21545857191,53035.142228473,TRUE
"Employee 52",43174.3518612348,840.072154533118,44014.4240157679,TRUE
"Employee 53",46661.0586829484,1601.61621402949,48262.6748969778,TRUE
"Employee 54",47772.8979289532,-709.516229107976,47063.3816998452,FALSE
"Employee 55",46654.6740103513,-4779.92763742805,41874.7463729233,FALSE
"Employee 56",43500.7905540988,4566.49785628542,48067.2884103842,TRUE
"Employee 57",49647.9276940227,-970.655321143568,48677.2723728791,FALSE
"Employee 58",46806.5269454382,-3957.76463905349,42848.7623063847,FALSE
"Employee 59",41917.6353723742,-2366.94755265489,39550.6878197193,FALSE
"Employee 60",44149.7915284708,3737.30887891725,47887.1004073881,TRUE
"Employee 61",48550.626214128,-3594.87614827231,44955.7500658557,FALSE
"Employee 62",42913.9684257098,-3642.39099668339,39271.5774290264,FALSE
"Employee 63",42855.8440227062,-3187.06702673808,39668.7769959681,FALSE
"Employee 64",40923.0265440419,-3890.73779573664,37032.2887483053,FALSE
"Employee 65",48121.4363966137,-3788.1378014572,44333.2985951565,FALSE
"Employee 66",48843.2787382044,-3274.68233415857,45568.5964040458,FALSE
"Employee 67",43570.9959245287,-1706.70861611143,41864.2873084173,FALSE
"Employee 68",43517.6653019153,1738.7303407304,45256.3956426457,TRUE
"Employee 69",48706.6698540002,4515.56598534808,53222.2358393483,TRUE
"Employee 70",49005.9738489799,-4508.12900904566,44497.8448399343,FALSE
"Employee 71",40831.5737592056,3562.39873915911,44393.9724983647,TRUE
"Employee 72",49385.9111703932,1647.04778930172,51032.958959695,TRUE
"Employee 73",47579.3378078379,3118.53104503825,50697.8688528761,TRUE
"Employee 74",44755.3920792416,2872.48158128932,47627.8736605309,TRUE
"Employee 75",46673.8723078743,-2052.98210727051,44620.8902006038,FALSE
"Employee 76",40415.5376390554,3772.81054854393,44188.3481875993,TRUE
"Employee 77",43872.801316902,-2966.63928311318,40906.1620337889,FALSE
"Employee 78",43796.4635994285,-2774.18435085565,41022.2792485729,FALSE
"Employee 79",47013.1908752955,2702.18660822138,49715.3774835169,TRUE
"Employee 80",45057.2469877079,4240.93682551757,49298.1838132255,TRUE
"Employee 81",44726.7541172914,3418.59579784796,48145.3499151394,TRUE
"Employee 82",46028.0472575687,-684.340291190892,45343.7069663778,FALSE
"Employee 83",48549.1316555999,2228.35167543963,50777.4833310395,TRUE
"Employee 84",44118.9837758429,-1049.96474925429,43069.0190265886,FALSE
"Employee 85",49423.423006665,-2005.02178864554,47418.4012180194,FALSE
"Employee 86",43594.8784393258,305.279339663684,43900.1577789895,TRUE
"Employee 87",49784.6176172607,-3755.84176275879,46028.7758545019,FALSE
"Employee 88",44537.1130853891,332.98111287877,44870.0941982679,TRUE
"Employee 89",45691.5427278727,-2923.04677190259,42768.4959559701,FALSE
"Employee 90",46976.1312310584,-1220.744762104,45755.3864689544,FALSE
"Employee 91",41074.8246125877,66.9133197516203,41141.7379323393,TRUE
"Employee 92",43185.5840142816,3393.10135925189,46578.6853735335,TRUE
"Employee 93",48238.7498440221,-4570.39672415704,43668.3531198651,FALSE
"Employee 94",47928.4964990802,-3265.9532292746,44662.5432698056,FALSE
"Employee 95",45354.7797957435,441.652787849307,45796.4325835928,TRUE
"Employee 96",48161.6151984781,-2699.46685992181,45462.1483385563,FALSE
"Employee 97",44186.4476748742,-552.822041790932,43633.6256330833,FALSE
"Employee 98",47037.3106584884,4924.22704119235,51961.5376996808,TRUE
"Employee 99",43721.2413689122,4228.85101521388,47950.092384126,TRUE
"Employee 100",43180.5577198975,-2137.05779984593,41043.4999200515,FALSE
